,id,행정동,coordinates,인구수,장애등록인원,고령인구수,복지시설밀도,건물3유형,건물2유형,전동휠체어충전소,전동휠체어충전소_bin,Predictions,XGBoost Predictions,SVM Predictions,KNN Predictions,Random Forest Predictions,Decision Tree Predictions,AdaBoost Predictions,LightGBM Predictions,Gradient Boosting Predictions,scaled_Predictions
567,754,이반성면,"[[128.31816512934486, 35.175526593995635], [128.31821030420966, 35.18003472131398], [128.32370114518585, 35.17999750303244], [128.3236556672451, 35.17548938189531], [128.31816512934486, 35.175526593995635]]",47.0,1.630952381,29.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
566,753,내동면,"[[128.05997605446473, 35.158961331908685], [128.06000695506, 35.163469716663236], [128.06549698254125, 35.16344421406185], [128.06546577905115, 35.15893583354389], [128.05997605446473, 35.158961331908685]]",670.0,1.2125,77.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
565,752,이반성면,"[[128.33436042295915, 35.14836548758639], [128.33440644568836, 35.15287361672113], [128.33989543875776, 35.15283568963318], [128.3398491133628, 35.14832756679952], [128.33436042295915, 35.14836548758639]]",13.0,1.630952381,8.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
564,751,하촌동,"[[128.08781406356587, 35.21293148706354], [128.08784656511182, 35.21743980955562], [128.0933401971656, 35.21741300975451], [128.09330739192455, 35.212904691711444], [128.08781406356587, 35.21293148706354]]",49.0,10.35897436,29.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
563,750,하대동,"[[128.12056814094024, 35.185717134359166], [128.12060241893184, 35.190225449890875], [128.12609418516092, 35.19019718271151], [128.1260596038884, 35.185688871874014], [128.12056814094024, 35.185717134359166]]",3567.0,63.45454545,823.0,0,2,20,0,0,0,0,0,0,0,0,0,0,0,0.0
562,747,명석면,"[[128.02782508278685, 35.28083496207817], [128.02785434087767, 35.28534327998229], [128.0333526123994, 35.285319162168754], [128.03332304958352, 35.280810848264984], [128.02782508278685, 35.28083496207817]]",68.0,1.79245283,39.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
561,745,명석면,"[[128.02186472898674, 35.20872521568378], [128.02189357966404, 35.21323359172099], [128.02738699016973, 35.21320978709375], [128.02735783584666, 35.20870141500858], [128.02186472898674, 35.20872521568378]]",0.0,1.79245283,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
560,743,명석면,"[[128.049725519968, 35.2672120824149], [128.04975597665418, 35.2717203942368], [128.055253307554, 35.271695289349566], [128.0552225463516, 35.267186981692475], [128.049725519968, 35.2672120824149]]",7.0,1.79245283,6.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
623,827,대곡면,"[[128.2252251280289, 35.221203234049284], [128.22526523924506, 35.22571142609633], [128.2307592764355, 35.22567838412812], [128.23071886143404, 35.22117019756563], [128.2252251280289, 35.221203234049284]]",0.0,2.068181818,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
624,828,정촌면,"[[128.0817103253694, 35.12729917832721], [128.08174238765693, 35.13180756959319], [128.08723026820655, 35.131781102718264], [128.08719790350082, 35.127272715850836], [128.0817103253694, 35.12729917832721]]",0.0,4.276923077,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
